"asset_id","name","category","priority","pipeline","key_colour","palette_constraint","asset_type","view","suggested_size","nine_slice","subject","description_or_lore","faction","faction_palette","faction_visual_signature","biome","biome_visual_identity_status","manufacturer","manufacturer_visual_identity","rarity","rarity_hex","used_in","additional_context"
"falchion-mk2:sprite","Falchion Mk. II","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","in-run sprite","top-down, nose north","256x256, trimmed","","the Falchion Mk. II, assault-class starship","A duelling hull with the safeties filed off and the paperwork lost on purpose.","","","","","","Vanguard Fleetworks","Predator lines, gunmetal blue, one blade-edge running light.","","","in-run gameplay","{""shipClass"":""assault"",""tier"":""rare"",""specialisation"":""criticalHits"",""manufacturerEngineering"":""Fire-control integration and target acquisition.""}"
"hivemother-mk1:portrait","Hivemother Mk. I","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","character/vehicle portrait","3/4 hero angle, plain dark backdrop","512x512","","the Hivemother Mk. I, carrier-class starship","The mining tools learned to defend themselves. Then they learned to be a fleet.","","","","","","Nova Forge","Hive-textured hulls with visible drone berths, always slightly in motion.","","","hangar/loadout screens","{""shipClass"":""carrier"",""tier"":""epic"",""specialisation"":""droneWarfare"",""manufacturerEngineering"":""Drone fabrication and swarm coordination.""}"
"hivemother-mk1:sprite","Hivemother Mk. I","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","in-run sprite","top-down, nose north","256x256, trimmed","","the Hivemother Mk. I, carrier-class starship","The mining tools learned to defend themselves. Then they learned to be a fleet.","","","","","","Nova Forge","Hive-textured hulls with visible drone berths, always slightly in motion.","","","in-run gameplay","{""shipClass"":""carrier"",""tier"":""epic"",""specialisation"":""droneWarfare"",""manufacturerEngineering"":""Drone fabrication and swarm coordination.""}"
"dawnspire:portrait","Dawnspire","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","character/vehicle portrait","3/4 hero angle, plain dark backdrop","512x512","","the Dawnspire, ancient-class starship","The Foundry did not build the Dawnspire. It excavated her, lit her, and has apologised to her ever since.","","","","","","Ancient Foundry","White stone alloy and gold conduit — hulls that look excavated, not built.","","","hangar/loadout screens","{""shipClass"":""ancient"",""tier"":""legendary"",""specialisation"":""energyWeapons"",""manufacturerEngineering"":""Materials nobody can replicate and tolerances nobody can measure.""}"
"dawnspire:sprite","Dawnspire","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","in-run sprite","top-down, nose north","256x256, trimmed","","the Dawnspire, ancient-class starship","The Foundry did not build the Dawnspire. It excavated her, lit her, and has apologised to her ever since.","","","","","","Ancient Foundry","White stone alloy and gold conduit — hulls that look excavated, not built.","","","in-run gameplay","{""shipClass"":""ancient"",""tier"":""legendary"",""specialisation"":""energyWeapons"",""manufacturerEngineering"":""Materials nobody can replicate and tolerances nobody can measure.""}"
"ballista-mk3:portrait","Ballista Mk. III","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","character/vehicle portrait","3/4 hero angle, plain dark backdrop","512x512","","the Ballista Mk. III, destroyer-class starship","Atlas put missiles where missiles should not fit, then reinforced the places that complained.","","","","","","Atlas Dynamics","Slab geometry, load-bearing everything, bolts you can see from orbit.","","","hangar/loadout screens","{""shipClass"":""destroyer"",""tier"":""uncommon"",""specialisation"":""missiles"",""manufacturerEngineering"":""Ordnance mounts and structural tolerance.""}"
"ballista-mk3:sprite","Ballista Mk. III","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","in-run sprite","top-down, nose north","256x256, trimmed","","the Ballista Mk. III, destroyer-class starship","Atlas put missiles where missiles should not fit, then reinforced the places that complained.","","","","","","Atlas Dynamics","Slab geometry, load-bearing everything, bolts you can see from orbit.","","","in-run gameplay","{""shipClass"":""destroyer"",""tier"":""uncommon"",""specialisation"":""missiles"",""manufacturerEngineering"":""Ordnance mounts and structural tolerance.""}"
"caduceus-mk1:portrait","Caduceus Mk. I","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","character/vehicle portrait","3/4 hero angle, plain dark backdrop","512x512","","the Caduceus Mk. I, engineer-class starship","Never lost an escorted hull. The record is painted inside the cockpit where only the pilot can read it.","","","","","","Aegis Systems","Rounded white hulls, green field-lines, medical calm.","","","hangar/loadout screens","{""shipClass"":""engineer"",""tier"":""rare"",""specialisation"":""support"",""manufacturerEngineering"":""Shield harmonics and support arrays.""}"
"caduceus-mk1:sprite","Caduceus Mk. I","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","in-run sprite","top-down, nose north","256x256, trimmed","","the Caduceus Mk. I, engineer-class starship","Never lost an escorted hull. The record is painted inside the cockpit where only the pilot can read it.","","","","","","Aegis Systems","Rounded white hulls, green field-lines, medical calm.","","","in-run gameplay","{""shipClass"":""engineer"",""tier"":""rare"",""specialisation"":""support"",""manufacturerEngineering"":""Shield harmonics and support arrays.""}"
"maelstrom-x1:portrait","Maelstrom X-1","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","character/vehicle portrait","3/4 hero angle, plain dark backdrop","512x512","","the Maelstrom X-1, prototype-class starship","The shear field works. The warning stencils are for everything else.","","","","","","Prototype Division","Mismatched panels, exposed telemetry, warning stencils in three languages.","","","hangar/loadout screens","{""shipClass"":""prototype"",""tier"":""prototype"",""specialisation"":""crowdControl"",""manufacturerEngineering"":""Experimental mechanics and rapid iteration.""}"
"maelstrom-x1:sprite","Maelstrom X-1","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","in-run sprite","top-down, nose north","256x256, trimmed","","the Maelstrom X-1, prototype-class starship","The shear field works. The warning stencils are for everything else.","","","","","","Prototype Division","Mismatched panels, exposed telemetry, warning stencils in three languages.","","","in-run gameplay","{""shipClass"":""prototype"",""tier"":""prototype"",""specialisation"":""crowdControl"",""manufacturerEngineering"":""Experimental mechanics and rapid iteration.""}"
"coil-ripper:icon","Coil Ripper","weapons","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","icon","centered, transparent background","128x128","","the Coil Ripper, a SHIP-MOUNTED ballistic weapon (starship armament, NOT a handheld gun)","A miner's tool repurposed into something that shouldn't pierce hull plate. It does anyway.","","","","","","Halcyon Driveworks","Expedition white with exposed coil windings.","common","#dce4f2","loadout/inventory/HUD","{""formFactor"":""Ship armament that bolts to a starship hull hardpoint — a turret / cannon / missile pod / beam emitter / lattice array. Mechanical hardware at a 3/4 hardware angle. NEVER a handheld firearm, never held or worn by a person."",""weaponCategory"":""ballistic"",""tier"":""uncommon"",""family"":""railguns:precision"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Charge that carries through pierced targets."",""firePattern"":""singleShot — one projectile straight ahead"",""projectileBehaviour"":""piercing — passes through targets"",""damageSchool"":""physical"",""statusOnHit"":""shock"",""assetPart"":""icon""}"
"coil-ripper:projectile","Coil Ripper","weapons","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","icon","centered, transparent background","128x128","","the projectile fired by the Coil Ripper (a ballistic ship weapon) — a bolt/beam/shell in flight, not the weapon itself","A miner's tool repurposed into something that shouldn't pierce hull plate. It does anyway.","","","","","","Halcyon Driveworks","Expedition white with exposed coil windings.","common","#dce4f2","in-run gameplay","{""formFactor"":""Just the projectile in flight (bolt / shell / beam segment / energy bolt) — small, readable, top-down. Not the launcher."",""weaponCategory"":""ballistic"",""tier"":""uncommon"",""family"":""railguns:precision"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Charge that carries through pierced targets."",""firePattern"":""singleShot — one projectile straight ahead"",""projectileBehaviour"":""piercing — passes through targets"",""damageSchool"":""physical"",""statusOnHit"":""shock"",""assetPart"":""projectile""}"
"coil-ripper:muzzle","Coil Ripper","weapons","1","additive","","","VFX (single frame or short frame sheet)","","256x256 per frame","","the Coil Ripper, a SHIP-MOUNTED ballistic weapon","A miner's tool repurposed into something that shouldn't pierce hull plate. It does anyway.","","","","","","Halcyon Driveworks","Expedition white with exposed coil windings.","common","#dce4f2","in-run gameplay","{""formFactor"":""Ship-weapon VFX only — no handheld/firearm form."",""weaponCategory"":""ballistic"",""tier"":""uncommon"",""family"":""railguns:precision"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Charge that carries through pierced targets."",""firePattern"":""singleShot — one projectile straight ahead"",""projectileBehaviour"":""piercing — passes through targets"",""damageSchool"":""physical"",""statusOnHit"":""shock"",""assetPart"":""muzzle""}"
"coil-ripper:impact","Coil Ripper","weapons","1","additive","","","VFX (single frame or short frame sheet)","","256x256 per frame","","the Coil Ripper, a SHIP-MOUNTED ballistic weapon","A miner's tool repurposed into something that shouldn't pierce hull plate. It does anyway.","","","","","","Halcyon Driveworks","Expedition white with exposed coil windings.","common","#dce4f2","in-run gameplay","{""formFactor"":""Ship-weapon VFX only — no handheld/firearm form."",""weaponCategory"":""ballistic"",""tier"":""uncommon"",""family"":""railguns:precision"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Charge that carries through pierced targets."",""firePattern"":""singleShot — one projectile straight ahead"",""projectileBehaviour"":""piercing — passes through targets"",""damageSchool"":""physical"",""statusOnHit"":""shock"",""assetPart"":""impact""}"
"coil-ripper-mk2:icon","Coil Ripper Mk. II","weapons","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","icon","centered, transparent background","128x128","","the Coil Ripper Mk. II, a SHIP-MOUNTED arc weapon (starship armament, NOT a handheld gun)","The evolved coil no longer just pierces — it arcs between everything it grazes.","","","","","","Halcyon Driveworks","Expedition white with exposed coil windings.","rare","#4d7cff","loadout/inventory/HUD","{""formFactor"":""Ship armament that bolts to a starship hull hardpoint — a turret / cannon / missile pod / beam emitter / lattice array. Mechanical hardware at a 3/4 hardware angle. NEVER a handheld firearm, never held or worn by a person."",""weaponCategory"":""arc"",""tier"":""rare"",""family"":""arcWeapons:chain"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Charge that carries through pierced targets."",""firePattern"":""chain — arcs target-to-target"",""projectileBehaviour"":""chainLightning — arcs between targets"",""damageSchool"":""physical"",""statusOnHit"":""shock"",""assetPart"":""icon""}"
"coil-ripper-mk2:projectile","Coil Ripper Mk. II","weapons","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","icon","centered, transparent background","128x128","","the projectile fired by the Coil Ripper Mk. II (a arc ship weapon) — a bolt/beam/shell in flight, not the weapon itself","The evolved coil no longer just pierces — it arcs between everything it grazes.","","","","","","Halcyon Driveworks","Expedition white with exposed coil windings.","rare","#4d7cff","in-run gameplay","{""formFactor"":""Just the projectile in flight (bolt / shell / beam segment / energy bolt) — small, readable, top-down. Not the launcher."",""weaponCategory"":""arc"",""tier"":""rare"",""family"":""arcWeapons:chain"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Charge that carries through pierced targets."",""firePattern"":""chain — arcs target-to-target"",""projectileBehaviour"":""chainLightning — arcs between targets"",""damageSchool"":""physical"",""statusOnHit"":""shock"",""assetPart"":""projectile""}"
"coil-ripper-mk2:muzzle","Coil Ripper Mk. II","weapons","1","additive","","","VFX (single frame or short frame sheet)","","256x256 per frame","","the Coil Ripper Mk. II, a SHIP-MOUNTED arc weapon","The evolved coil no longer just pierces — it arcs between everything it grazes.","","","","","","Halcyon Driveworks","Expedition white with exposed coil windings.","rare","#4d7cff","in-run gameplay","{""formFactor"":""Ship-weapon VFX only — no handheld/firearm form."",""weaponCategory"":""arc"",""tier"":""rare"",""family"":""arcWeapons:chain"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Charge that carries through pierced targets."",""firePattern"":""chain — arcs target-to-target"",""projectileBehaviour"":""chainLightning — arcs between targets"",""damageSchool"":""physical"",""statusOnHit"":""shock"",""assetPart"":""muzzle""}"
"coil-ripper-mk2:impact","Coil Ripper Mk. II","weapons","1","additive","","","VFX (single frame or short frame sheet)","","256x256 per frame","","the Coil Ripper Mk. II, a SHIP-MOUNTED arc weapon","The evolved coil no longer just pierces — it arcs between everything it grazes.","","","","","","Halcyon Driveworks","Expedition white with exposed coil windings.","rare","#4d7cff","in-run gameplay","{""formFactor"":""Ship-weapon VFX only — no handheld/firearm form."",""weaponCategory"":""arc"",""tier"":""rare"",""family"":""arcWeapons:chain"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Charge that carries through pierced targets."",""firePattern"":""chain — arcs target-to-target"",""projectileBehaviour"":""chainLightning — arcs between targets"",""damageSchool"":""physical"",""statusOnHit"":""shock"",""assetPart"":""impact""}"
"novasplitter:icon","Novasplitter","weapons","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","icon","centered, transparent background","128x128","","the Novasplitter, a SHIP-MOUNTED flak weapon (starship armament, NOT a handheld gun)","Fires wide, forgives poor aim, punishes crowds.","","","","","","Ironmoor Foundry","Foundry grey, proud welds, recoil handled by mass.","improved","#4de868","loadout/inventory/HUD","{""formFactor"":""Ship armament that bolts to a starship hull hardpoint — a turret / cannon / missile pod / beam emitter / lattice array. Mechanical hardware at a 3/4 hardware angle. NEVER a handheld firearm, never held or worn by a person."",""weaponCategory"":""flak"",""tier"":""epic"",""family"":""shotguns:breach"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Novas that reward standing exactly where you should not."",""firePattern"":""nova — ring in all directions"",""projectileBehaviour"":""explosive — detonates in a radius on hit"",""damageSchool"":""energy"",""statusOnHit"":null,""assetPart"":""icon""}"
"novasplitter:projectile","Novasplitter","weapons","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","icon","centered, transparent background","128x128","","the projectile fired by the Novasplitter (a flak ship weapon) — a bolt/beam/shell in flight, not the weapon itself","Fires wide, forgives poor aim, punishes crowds.","","","","","","Ironmoor Foundry","Foundry grey, proud welds, recoil handled by mass.","improved","#4de868","in-run gameplay","{""formFactor"":""Just the projectile in flight (bolt / shell / beam segment / energy bolt) — small, readable, top-down. Not the launcher."",""weaponCategory"":""flak"",""tier"":""epic"",""family"":""shotguns:breach"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Novas that reward standing exactly where you should not."",""firePattern"":""nova — ring in all directions"",""projectileBehaviour"":""explosive — detonates in a radius on hit"",""damageSchool"":""energy"",""statusOnHit"":null,""assetPart"":""projectile""}"
"novasplitter:muzzle","Novasplitter","weapons","1","additive","","","VFX (single frame or short frame sheet)","","256x256 per frame","","the Novasplitter, a SHIP-MOUNTED flak weapon","Fires wide, forgives poor aim, punishes crowds.","","","","","","Ironmoor Foundry","Foundry grey, proud welds, recoil handled by mass.","improved","#4de868","in-run gameplay","{""formFactor"":""Ship-weapon VFX only — no handheld/firearm form."",""weaponCategory"":""flak"",""tier"":""epic"",""family"":""shotguns:breach"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Novas that reward standing exactly where you should not."",""firePattern"":""nova — ring in all directions"",""projectileBehaviour"":""explosive — detonates in a radius on hit"",""damageSchool"":""energy"",""statusOnHit"":null,""assetPart"":""muzzle""}"
"novasplitter:impact","Novasplitter","weapons","1","additive","","","VFX (single frame or short frame sheet)","","256x256 per frame","","the Novasplitter, a SHIP-MOUNTED flak weapon","Fires wide, forgives poor aim, punishes crowds.","","","","","","Ironmoor Foundry","Foundry grey, proud welds, recoil handled by mass.","improved","#4de868","in-run gameplay","{""formFactor"":""Ship-weapon VFX only — no handheld/firearm form."",""weaponCategory"":""flak"",""tier"":""epic"",""family"":""shotguns:breach"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Novas that reward standing exactly where you should not."",""firePattern"":""nova — ring in all directions"",""projectileBehaviour"":""explosive — detonates in a radius on hit"",""damageSchool"":""energy"",""statusOnHit"":null,""assetPart"":""impact""}"
"voidlance:icon","Voidlance","weapons","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","icon","centered, transparent background","128x128","","the Voidlance, a SHIP-MOUNTED void weapon (starship armament, NOT a handheld gun)","It does not fire so much as it insists.","","","","","","Void Legion Remnant","Seams of not-quite-black that drip upward.","epic","#9b5cff","loadout/inventory/HUD","{""formFactor"":""Ship armament that bolts to a starship hull hardpoint — a turret / cannon / missile pod / beam emitter / lattice array. Mechanical hardware at a 3/4 hardware angle. NEVER a handheld firearm, never held or worn by a person."",""weaponCategory"":""void"",""tier"":""ancient"",""family"":""voidWeapons:unmaking"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Corruption that remembers its targets."",""firePattern"":""beam — continuous beam"",""projectileBehaviour"":""persistentBeam — sustained beam, not a projectile"",""damageSchool"":""energy"",""statusOnHit"":""corruption"",""assetPart"":""icon""}"
"voidlance:projectile","Voidlance","weapons","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","icon","centered, transparent background","128x128","","the projectile fired by the Voidlance (a void ship weapon) — a bolt/beam/shell in flight, not the weapon itself","It does not fire so much as it insists.","","","","","","Void Legion Remnant","Seams of not-quite-black that drip upward.","epic","#9b5cff","in-run gameplay","{""formFactor"":""Just the projectile in flight (bolt / shell / beam segment / energy bolt) — small, readable, top-down. Not the launcher."",""weaponCategory"":""void"",""tier"":""ancient"",""family"":""voidWeapons:unmaking"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Corruption that remembers its targets."",""firePattern"":""beam — continuous beam"",""projectileBehaviour"":""persistentBeam — sustained beam, not a projectile"",""damageSchool"":""energy"",""statusOnHit"":""corruption"",""assetPart"":""projectile""}"
"voidlance:muzzle","Voidlance","weapons","1","additive","","","VFX (single frame or short frame sheet)","","256x256 per frame","","the Voidlance, a SHIP-MOUNTED void weapon","It does not fire so much as it insists.","","","","","","Void Legion Remnant","Seams of not-quite-black that drip upward.","epic","#9b5cff","in-run gameplay","{""formFactor"":""Ship-weapon VFX only — no handheld/firearm form."",""weaponCategory"":""void"",""tier"":""ancient"",""family"":""voidWeapons:unmaking"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Corruption that remembers its targets."",""firePattern"":""beam — continuous beam"",""projectileBehaviour"":""persistentBeam — sustained beam, not a projectile"",""damageSchool"":""energy"",""statusOnHit"":""corruption"",""assetPart"":""muzzle""}"
"voidlance:impact","Voidlance","weapons","1","additive","","","VFX (single frame or short frame sheet)","","256x256 per frame","","the Voidlance, a SHIP-MOUNTED void weapon","It does not fire so much as it insists.","","","","","","Void Legion Remnant","Seams of not-quite-black that drip upward.","epic","#9b5cff","in-run gameplay","{""formFactor"":""Ship-weapon VFX only — no handheld/firearm form."",""weaponCategory"":""void"",""tier"":""ancient"",""family"":""voidWeapons:unmaking"",""familyNote"":""family names describe firing behaviour, not an infantry form-factor"",""manufacturerSignature"":""Corruption that remembers its targets."",""firePattern"":""beam — continuous beam"",""projectileBehaviour"":""persistentBeam — sustained beam, not a projectile"",""damageSchool"":""energy"",""statusOnHit"":""corruption"",""assetPart"":""impact""}"
