"asset_id","category","subtype","name","prompt"
"sable-dart-mk1","01-ships","in-run-sprite","Sable Dart Mk. I","Top-down in-run sprite, straight overhead view, centered. Sable Dart Mk. I, an interceptor-class starship built by Helios Industries house style: Sun-gold trim over white ceramic, engines like sunrise.. Helios built it to win races. The Collapse repurposed the finish line. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"sable-dart-mk1","01-ships","roster-thumbnail","Sable Dart Mk. I","Small square roster-select thumbnail, simplified silhouette. Sable Dart Mk. I, an interceptor-class starship built by Helios Industries house style: Sun-gold trim over white ceramic, engines like sunrise.. Helios built it to win races. The Collapse repurposed the finish line. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"falchion-mk2","01-ships","hangar-portrait","Falchion Mk. II","Hangar portrait, 3/4 hero angle on a plain dark backdrop. Falchion Mk. II, an assault-class starship built by Vanguard Fleetworks house style: Predator lines, gunmetal blue, one blade-edge running light.. A duelling hull with the safeties filed off and the paperwork lost on purpose. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"falchion-mk2","01-ships","in-run-sprite","Falchion Mk. II","Top-down in-run sprite, straight overhead view, centered. Falchion Mk. II, an assault-class starship built by Vanguard Fleetworks house style: Predator lines, gunmetal blue, one blade-edge running light.. A duelling hull with the safeties filed off and the paperwork lost on purpose. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"falchion-mk2","01-ships","roster-thumbnail","Falchion Mk. II","Small square roster-select thumbnail, simplified silhouette. Falchion Mk. II, an assault-class starship built by Vanguard Fleetworks house style: Predator lines, gunmetal blue, one blade-edge running light.. A duelling hull with the safeties filed off and the paperwork lost on purpose. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"hivemother-mk1","01-ships","hangar-portrait","Hivemother Mk. I","Hangar portrait, 3/4 hero angle on a plain dark backdrop. Hivemother Mk. I, a carrier-class starship built by Nova Forge house style: Hive-textured hulls with visible drone berths, always slightly in motion.. The mining tools learned to defend themselves. Then they learned to be a fleet. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"hivemother-mk1","01-ships","in-run-sprite","Hivemother Mk. I","Top-down in-run sprite, straight overhead view, centered. Hivemother Mk. I, a carrier-class starship built by Nova Forge house style: Hive-textured hulls with visible drone berths, always slightly in motion.. The mining tools learned to defend themselves. Then they learned to be a fleet. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"hivemother-mk1","01-ships","roster-thumbnail","Hivemother Mk. I","Small square roster-select thumbnail, simplified silhouette. Hivemother Mk. I, a carrier-class starship built by Nova Forge house style: Hive-textured hulls with visible drone berths, always slightly in motion.. The mining tools learned to defend themselves. Then they learned to be a fleet. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"dawnspire","01-ships","hangar-portrait","Dawnspire","Hangar portrait, 3/4 hero angle on a plain dark backdrop. Dawnspire, an ancient-class starship built by Ancient Foundry house style: White stone alloy and gold conduit — hulls that look excavated, not built.. The Foundry did not build the Dawnspire. It excavated her, lit her, and has apologised to her ever since. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"dawnspire","01-ships","in-run-sprite","Dawnspire","Top-down in-run sprite, straight overhead view, centered. Dawnspire, an ancient-class starship built by Ancient Foundry house style: White stone alloy and gold conduit — hulls that look excavated, not built.. The Foundry did not build the Dawnspire. It excavated her, lit her, and has apologised to her ever since. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"dawnspire","01-ships","roster-thumbnail","Dawnspire","Small square roster-select thumbnail, simplified silhouette. Dawnspire, an ancient-class starship built by Ancient Foundry house style: White stone alloy and gold conduit — hulls that look excavated, not built.. The Foundry did not build the Dawnspire. It excavated her, lit her, and has apologised to her ever since. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"ballista-mk3","01-ships","hangar-portrait","Ballista Mk. III","Hangar portrait, 3/4 hero angle on a plain dark backdrop. Ballista Mk. III, a destroyer-class starship built by Atlas Dynamics house style: Slab geometry, load-bearing everything, bolts you can see from orbit.. Atlas put missiles where missiles should not fit, then reinforced the places that complained. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"ballista-mk3","01-ships","in-run-sprite","Ballista Mk. III","Top-down in-run sprite, straight overhead view, centered. Ballista Mk. III, a destroyer-class starship built by Atlas Dynamics house style: Slab geometry, load-bearing everything, bolts you can see from orbit.. Atlas put missiles where missiles should not fit, then reinforced the places that complained. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"ballista-mk3","01-ships","roster-thumbnail","Ballista Mk. III","Small square roster-select thumbnail, simplified silhouette. Ballista Mk. III, a destroyer-class starship built by Atlas Dynamics house style: Slab geometry, load-bearing everything, bolts you can see from orbit.. Atlas put missiles where missiles should not fit, then reinforced the places that complained. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"caduceus-mk1","01-ships","hangar-portrait","Caduceus Mk. I","Hangar portrait, 3/4 hero angle on a plain dark backdrop. Caduceus Mk. I, an engineer-class starship built by Aegis Systems house style: Rounded white hulls, green field-lines, medical calm.. Never lost an escorted hull. The record is painted inside the cockpit where only the pilot can read it. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"caduceus-mk1","01-ships","in-run-sprite","Caduceus Mk. I","Top-down in-run sprite, straight overhead view, centered. Caduceus Mk. I, an engineer-class starship built by Aegis Systems house style: Rounded white hulls, green field-lines, medical calm.. Never lost an escorted hull. The record is painted inside the cockpit where only the pilot can read it. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"caduceus-mk1","01-ships","roster-thumbnail","Caduceus Mk. I","Small square roster-select thumbnail, simplified silhouette. Caduceus Mk. I, an engineer-class starship built by Aegis Systems house style: Rounded white hulls, green field-lines, medical calm.. Never lost an escorted hull. The record is painted inside the cockpit where only the pilot can read it. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"maelstrom-x1","01-ships","hangar-portrait","Maelstrom X-1","Hangar portrait, 3/4 hero angle on a plain dark backdrop. Maelstrom X-1, a prototype-class starship built by Prototype Division house style: Mismatched panels, exposed telemetry, warning stencils in three languages.. The shear field works. The warning stencils are for everything else. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"maelstrom-x1","01-ships","in-run-sprite","Maelstrom X-1","Top-down in-run sprite, straight overhead view, centered. Maelstrom X-1, a prototype-class starship built by Prototype Division house style: Mismatched panels, exposed telemetry, warning stencils in three languages.. The shear field works. The warning stencils are for everything else. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"maelstrom-x1","01-ships","roster-thumbnail","Maelstrom X-1","Small square roster-select thumbnail, simplified silhouette. Maelstrom X-1, a prototype-class starship built by Prototype Division house style: Mismatched panels, exposed telemetry, warning stencils in three languages.. The shear field works. The warning stencils are for everything else. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"coil-ripper","02-weapons","icon","Coil Ripper","Inventory/HUD icon on transparent background, centered, 3/4 angle. Coil Ripper, a ballistic weapon by Halcyon Driveworks house style: Expedition white with exposed coil windings.. A miner's tool repurposed into something that shouldn't pierce hull plate. It does anyway. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"coil-ripper","02-weapons","projectile","Coil Ripper","Projectile sprite for its ""piercing"" behaviour and ""singleShot"" fire pattern. Coil Ripper, a ballistic weapon by Halcyon Driveworks house style: Expedition white with exposed coil windings.. A miner's tool repurposed into something that shouldn't pierce hull plate. It does anyway. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"coil-ripper","02-weapons","muzzle-flash","Coil Ripper","Muzzle-flash VFX at the moment of firing, matching its ""singleShot"" spawn geometry. Coil Ripper, a ballistic weapon by Halcyon Driveworks house style: Expedition white with exposed coil windings.. A miner's tool repurposed into something that shouldn't pierce hull plate. It does anyway. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"coil-ripper","02-weapons","impact-vfx","Coil Ripper","Impact VFX where the projectile lands, brief and bold. Coil Ripper, a ballistic weapon by Halcyon Driveworks house style: Expedition white with exposed coil windings.. A miner's tool repurposed into something that shouldn't pierce hull plate. It does anyway. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"coil-ripper-mk2","02-weapons","icon","Coil Ripper Mk. II","Inventory/HUD icon on transparent background, centered, 3/4 angle. Coil Ripper Mk. II, an arc weapon by Halcyon Driveworks house style: Expedition white with exposed coil windings.. The evolved coil no longer just pierces — it arcs between everything it grazes. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"coil-ripper-mk2","02-weapons","projectile","Coil Ripper Mk. II","Projectile sprite for its ""chainLightning"" behaviour and ""chain"" fire pattern. Coil Ripper Mk. II, an arc weapon by Halcyon Driveworks house style: Expedition white with exposed coil windings.. The evolved coil no longer just pierces — it arcs between everything it grazes. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"coil-ripper-mk2","02-weapons","muzzle-flash","Coil Ripper Mk. II","Muzzle-flash VFX at the moment of firing, matching its ""chain"" spawn geometry. Coil Ripper Mk. II, an arc weapon by Halcyon Driveworks house style: Expedition white with exposed coil windings.. The evolved coil no longer just pierces — it arcs between everything it grazes. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"coil-ripper-mk2","02-weapons","impact-vfx","Coil Ripper Mk. II","Impact VFX where the projectile lands, brief and bold. Coil Ripper Mk. II, an arc weapon by Halcyon Driveworks house style: Expedition white with exposed coil windings.. The evolved coil no longer just pierces — it arcs between everything it grazes. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"novasplitter","02-weapons","icon","Novasplitter","Inventory/HUD icon on transparent background, centered, 3/4 angle. Novasplitter, a flak weapon by Ironmoor Foundry house style: Foundry grey, proud welds, recoil handled by mass.. Fires wide, forgives poor aim, punishes crowds. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"novasplitter","02-weapons","projectile","Novasplitter","Projectile sprite for its ""explosive"" behaviour and ""nova"" fire pattern. Novasplitter, a flak weapon by Ironmoor Foundry house style: Foundry grey, proud welds, recoil handled by mass.. Fires wide, forgives poor aim, punishes crowds. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"novasplitter","02-weapons","muzzle-flash","Novasplitter","Muzzle-flash VFX at the moment of firing, matching its ""nova"" spawn geometry. Novasplitter, a flak weapon by Ironmoor Foundry house style: Foundry grey, proud welds, recoil handled by mass.. Fires wide, forgives poor aim, punishes crowds. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"novasplitter","02-weapons","impact-vfx","Novasplitter","Impact VFX where the projectile lands, brief and bold. Novasplitter, a flak weapon by Ironmoor Foundry house style: Foundry grey, proud welds, recoil handled by mass.. Fires wide, forgives poor aim, punishes crowds. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"voidlance","02-weapons","icon","Voidlance","Inventory/HUD icon on transparent background, centered, 3/4 angle. Voidlance, a void weapon by Void Legion Remnant house style: Seams of not-quite-black that drip upward.. It does not fire so much as it insists. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"voidlance","02-weapons","projectile","Voidlance","Projectile sprite for its ""persistentBeam"" behaviour and ""beam"" fire pattern. Voidlance, a void weapon by Void Legion Remnant house style: Seams of not-quite-black that drip upward.. It does not fire so much as it insists. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"voidlance","02-weapons","muzzle-flash","Voidlance","Muzzle-flash VFX at the moment of firing, matching its ""beam"" spawn geometry. Voidlance, a void weapon by Void Legion Remnant house style: Seams of not-quite-black that drip upward.. It does not fire so much as it insists. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"voidlance","02-weapons","impact-vfx","Voidlance","Impact VFX where the projectile lands, brief and bold. Voidlance, a void weapon by Void Legion Remnant house style: Seams of not-quite-black that drip upward.. It does not fire so much as it insists. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
"hailborn-array","02-weapons","icon","Hailborn Array","Inventory/HUD icon on transparent background, centered, 3/4 angle. Hailborn Array, a crystal weapon by Meridian Yards house style: Survey-white lattices grown around instrument cores.. Grown, not machined — the lattice fires the winter it remembers from Winterline's survey runs. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"hailborn-array","02-weapons","projectile","Hailborn Array","Projectile sprite for its ""splitting"" behaviour and ""spread"" fire pattern. Hailborn Array, a crystal weapon by Meridian Yards house style: Survey-white lattices grown around instrument cores.. Grown, not machined — the lattice fires the winter it remembers from Winterline's survey runs. House VFX style: large, few, rounded particles — fat circles, chunky stars, thick rings. Never fine dust, realistic smoke, or lens flares. Additive glow allowed but clipped tight to the source. Flat saturated colour, no gradients past a subtle two-stop, nothing gritty. Must read clearly at 32px and never obscure a silhouette for more than ~200ms."
